seed,lambda,mu,rho,policy_name,preemptive,last_index,last_arrival,last_completion,totdelay,totservice,totwait,interarr,wait,delay,service,innode,inq,util,maxqlen
1,2.000000,0.200000,0.100000,FCFS,0,1000000,1996801.375000,1996801.500000,22151.300781,199484.031250,221635.328125,1.996801,0.221635,0.022151,0.199484,0.110995,0.011093,0.099902,6
1,2.000000,0.200000,0.100000,FCFS,1,1000000,1996801.375000,1996801.500000,22151.343750,199484.031250,221635.375000,1.996801,0.221635,0.022151,0.199484,0.110995,0.011093,0.099902,7
1,2.000000,0.200000,0.100000,LCFS,0,1000000,1996801.375000,1996801.500000,22143.732422,199484.031250,221627.765625,1.996801,0.221628,0.022144,0.199484,0.110991,0.011090,0.099902,6
1,2.000000,0.200000,0.100000,LCFS,1,1000000,1996801.375000,1996801.500000,22036.777344,199484.031250,221520.796875,1.996801,0.221521,0.022037,0.199484,0.110938,0.011036,0.099902,7
1,2.000000,0.200000,0.100000,SJF,0,1000000,1996801.375000,1996801.500000,21137.904297,199484.031250,220621.937500,1.996801,0.220622,0.021138,0.199484,0.110488,0.010586,0.099902,6
1,2.000000,0.200000,0.100000,SJF,1,1000000,1996801.375000,1996801.500000,13496.610352,199484.031250,212980.640625,1.996801,0.212981,0.013497,0.199484,0.106661,0.006759,0.099902,5
1,2.000000,0.200000,0.100000,SRTF,1,1000000,1996801.375000,1996801.500000,10804.765625,199484.031250,210288.796875,1.996801,0.210289,0.010805,0.199484,0.105313,0.005411,0.099902,5
1,2.000000,0.200000,0.100000,PS,0,1000000,1996801.375000,1996801.500000,22142.396484,199484.031250,221626.421875,1.996801,0.221626,0.022142,0.199484,0.110991,0.011089,0.099902,6
1,2.000000,0.200000,0.100000,PS,1,1000000,1996801.375000,1996801.500000,22150.328125,199484.031250,221634.359375,1.996801,0.221634,0.022150,0.199484,0.110995,0.011093,0.099902,6
10,2.000000,0.200000,0.100000,FCFS,0,1000000,2000275.625000,2000275.750000,22140.855469,199197.203125,221338.046875,2.000276,0.221338,0.022141,0.199197,0.110654,0.011069,0.099585,5
10,2.000000,0.200000,0.100000,FCFS,1,1000000,2000275.625000,2000275.750000,22143.529297,199197.203125,221340.718750,2.000276,0.221341,0.022144,0.199197,0.110655,0.011070,0.099585,7
